epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,306.473,1.22197,0.73423,0.0058,0.95094,0.90885,0.98617,0.72689,0.96593,0.38487,0.00579,0.00092575,0.00092575,0.00092575
62,311.451,1.21173,0.73722,0.00563,0.86837,0.95234,0.98116,0.71904,0.95838,0.48153,0.00571,0.000924513,0.000924513,0.000924513
63,316.36,1.24055,0.7232,0.00582,0.93738,0.95216,0.98676,0.70773,1.06368,0.38841,0.00624,0.000923275,0.000923275,0.000923275
64,321.291,1.21667,0.71851,0.00565,0.94104,0.88776,0.97706,0.73159,0.93662,0.45334,0.0055,0.000922038,0.000922038,0.000922038
65,326.237,1.23353,0.72096,0.00561,0.94684,0.95011,0.9832,0.72908,0.90828,0.38559,0.00521,0.0009208,0.0009208,0.0009208
66,331.164,1.18896,0.70795,0.00544,0.94814,0.96405,0.98698,0.72808,0.96506,0.35893,0.00571,0.000919562,0.000919562,0.000919562
67,336.074,1.1875,0.71115,0.00539,0.92338,0.961,0.98653,0.72226,0.95556,0.3666,0.00555,0.000918325,0.000918325,0.000918325
68,341.048,1.18318,0.70677,0.00556,0.95774,0.89241,0.98196,0.72217,0.94078,0.39903,0.00548,0.000917088,0.000917088,0.000917088
69,345.954,1.20913,0.71963,0.0056,0.95233,0.94912,0.98757,0.72873,0.94067,0.36904,0.00549,0.00091585,0.00091585,0.00091585
70,350.855,1.18008,0.70068,0.00543,0.94103,0.93616,0.98656,0.73804,0.93577,0.3504,0.00541,0.000914613,0.000914613,0.000914613
71,355.767,1.1984,0.70566,0.00563,0.94245,0.93402,0.98409,0.72365,0.95288,0.3827,0.00553,0.000913375,0.000913375,0.000913375
72,360.669,1.21073,0.70409,0.00551,0.94989,0.94735,0.98533,0.73999,0.90967,0.38613,0.00531,0.000912138,0.000912138,0.000912138
73,365.67,1.19325,0.67235,0.00573,0.90463,0.95281,0.97092,0.71505,0.93947,0.46703,0.00554,0.0009109,0.0009109,0.0009109
74,370.612,1.19652,0.7127,0.00555,0.93038,0.92208,0.98313,0.73781,0.89592,0.35807,0.00519,0.000909662,0.000909662,0.000909662
75,375.565,1.20435,0.68178,0.00554,0.9019,0.96573,0.98337,0.74066,0.92336,0.35762,0.00536,0.000908425,0.000908425,0.000908425
76,380.622,1.2035,0.68195,0.00566,0.96855,0.9692,0.9914,0.72757,0.97049,0.32145,0.00545,0.000907188,0.000907188,0.000907188
77,385.655,1.17094,0.64199,0.00531,0.94893,0.90853,0.98347,0.73352,0.90434,0.36337,0.00508,0.00090595,0.00090595,0.00090595
78,390.657,1.18625,0.67387,0.00544,0.94941,0.90646,0.98065,0.69945,1.0416,0.40647,0.00622,0.000904713,0.000904713,0.000904713
79,395.605,1.1734,0.67556,0.00536,0.96756,0.95438,0.98977,0.74787,0.8874,0.31445,0.00511,0.000903475,0.000903475,0.000903475
80,400.548,1.13747,0.636,0.00532,0.96999,0.96821,0.99125,0.73349,0.90949,0.331,0.00531,0.000902238,0.000902238,0.000902238
81,405.552,1.17536,0.68884,0.00536,0.95923,0.94446,0.99028,0.7225,0.95524,0.33759,0.00557,0.000901,0.000901,0.000901
82,410.445,1.16429,0.67186,0.00545,0.94513,0.97428,0.99135,0.7476,0.89085,0.34106,0.00514,0.000899762,0.000899762,0.000899762
83,415.34,1.16533,0.66091,0.00548,0.96946,0.94494,0.9916,0.74018,0.93227,0.3669,0.00543,0.000898525,0.000898525,0.000898525
84,420.267,1.18393,0.67393,0.00547,0.95834,0.96066,0.99048,0.72944,0.96168,0.35506,0.00564,0.000897288,0.000897288,0.000897288
85,425.174,1.14632,0.6358,0.00532,0.96094,0.94657,0.99042,0.74252,0.87856,0.33584,0.00512,0.00089605,0.00089605,0.00089605
86,430.085,1.16003,0.62847,0.00535,0.96744,0.96681,0.99207,0.74166,0.92295,0.29932,0.0054,0.000894812,0.000894812,0.000894812
87,434.97,1.14468,0.63733,0.00517,0.96787,0.96021,0.99183,0.75323,0.87754,0.30337,0.00506,0.000893575,0.000893575,0.000893575
88,439.95,1.14998,0.62956,0.00516,0.96653,0.95403,0.98996,0.75066,0.86573,0.31664,0.00492,0.000892338,0.000892338,0.000892338
89,444.837,1.17586,0.63884,0.00531,0.97548,0.95815,0.99006,0.75675,0.85727,0.30058,0.00494,0.0008911,0.0008911,0.0008911
90,449.805,1.12397,0.60204,0.00529,0.9473,0.97756,0.98949,0.7467,0.88227,0.30352,0.00503,0.000889863,0.000889863,0.000889863
91,454.709,1.1398,0.62254,0.00504,0.9241,0.9579,0.98797,0.74143,0.90868,0.34847,0.00527,0.000888625,0.000888625,0.000888625
92,459.623,1.17199,0.62077,0.00529,0.94858,0.94905,0.98809,0.75123,0.86305,0.33618,0.00494,0.000887387,0.000887387,0.000887387
93,464.5,1.15498,0.60248,0.00521,0.97337,0.95454,0.9918,0.75156,0.92074,0.31799,0.00524,0.00088615,0.00088615,0.00088615
94,469.393,1.15279,0.60725,0.00522,0.96585,0.97213,0.99147,0.74118,0.8826,0.31158,0.00501,0.000884913,0.000884913,0.000884913
95,474.261,1.12534,0.61954,0.00508,0.91987,0.97111,0.98683,0.73609,0.90122,0.36927,0.00505,0.000883675,0.000883675,0.000883675
96,479.168,1.138,0.60743,0.00511,0.9622,0.94977,0.98958,0.74646,0.86249,0.2961,0.00498,0.000882437,0.000882437,0.000882437
